title,company,location,salary_range,description,experience_level,requirements
Data Scientist II,TD Bank,Toronto,$73K - $115K (Employer Est.),"Work Location:
Toronto, Ontario, Canada
Hours:
37.5
Line of Business:
Analytics, Insights, & Artificial Intelligence
Pay Details:
$73,000 - $115,200 CAD
TD is committed to providing fair and equitable compensation opportunities to all colleagues. Growth opportunities and skill development are defining features of the colleague experience at TD. Our compensation policies and practices have been designed to allow colleagues to progress through the salary range over time as they progress in their role. The base pay actually offered may vary based upon the candidate's skills and experience, job-related knowledge, geographic location, and other specific business and organizational needs.
As a candidate, you are encouraged to ask compensation related questions and have an open dialogue with your recruiter who can provide you more specific details for this role.
Job Description:
Department Overview:
The Data Science team consists of professional roles that provide consultative support with data & analytics-based business insights and/or solutions to guide decision making and/or strategic planning; it leverages and interprets data and analytical product to provide business specific or broad strategic insight by using a variety of analytics techniques and audience-specific communication skills. This area can also focus on gathering, analyzing and modeling all kinds of data to develop business insights or analytics solutions and generally involves the use of broad range of statistical and/or mathematical models/techniques and tools.
Job Description
We will be offering a variety of roles from intermediate to senior level. The individuals are principally responsible for supporting specifically assigned data & analytics projects and often provide on-going analytical sights for specific business domains.
The roles may consist of (but not limited to) one or more of the following key areas:
Use a wide range of programing languages (e.g. Python) and data science techniques for extracting and preparing data, applying statistics and various advanced analytics, along with business acumen to extract insights from the big data or build analytics solutions to answer impactful business questions and guide business decisions.
Visualize insights from the data to tell and illustrate stories that clearly convey the meaning of results to decision-makers and stakeholders at every level of technical understanding.
Collaborate with other partners, such as data and business analysts, software engineer, data engineers, and application developers to develop scalable and sustainable data science solutions that retains on-going benefit to the business.
Identifies new analytical trends / data needs to improve repeatable analytic solutions.
Interdisciplinary field focused on processes and systems to extract knowledge or insights from data of various forms either structured or unstructured techniques.
Employs techniques and theories drawn on many fields within the broad areas of mathematics and statistics that may be applied across a variety of products, services, business lines, or segments.
Educate the organization on data science approaches, such as experimental test & learn, testing hypotheses and statistical validation of result.
Enhance business strategies by leveraging analytics and insights to foster strategic thinking, guiding the organization towards informed decisions and sustainable growth.
Help the organization understand the principles and the math behind the scientist process to drive organizational alignment.
Translate up to date information into continuous improvement activities that enhance Performance
Keep abreast of emerging issues, trends, and evolving regulatory requirements and assess potential impacts.
Maintain a culture of risk management and control, supported by effective processes in alignment with risk appetite.
Participate fully as a member of the team, support a positive work environment that promotes service to the business, quality, innovation and teamwork and ensure timely communication of issues/ points of interest.
Job Requirements:
We are hiring for multiple roles, looking for below skillset(s):
Experience in Python, Cloud, SQL, Tableau
Experience in Anti-money Laundering functions is an asset.
Data engineering and reporting background is preferred.
Experience in visualization, particularly around Business Intelligence (Reporting, analytics and delivery).
Experience in forecasting – understanding of different forecasting techniques especially in linear regressions & time-series forecasting.
Experience/knowledge in setting test & control group & hypothesis testing.
Strong analytics & problem-solving skills
Undergraduate degree or advanced technical degree preferred (e.g., math, physics, engineering, finance, or computer science) Graduate's degree preferred with either progressive project work experience.
Level Min Years' Experience
Intermediate 3+ years
Senior 5+ years
Higher degree education and research tenure can be counted.
Who We Are:
TD is one of the world's leading global financial institutions and is the fifth largest bank in North America by branches/stores. Every day, we deliver legendary customer experiences to over 27 million households and businesses in Canada, the United States and around the world. More than 95,000 TD colleagues bring their skills, talent, and creativity to the Bank, those we serve, and the economies we support. We are guided by our vision to Be the Better Bank and our purpose to enrich the lives of our customers, communities and colleagues.
TD is deeply committed to being a leader in customer experience, that is why we believe that all colleagues, no matter where they work, are customer facing. As we build our business and deliver on our strategy, we are innovating to enhance the customer experience and build capabilities to shape the future of banking. Whether you’ve got years of banking experience or are just starting your career in financial services, we can help you realize your potential. Through regular leadership and development conversations to mentorship and training programs, we’re here to support you towards your goals. As an organization, we keep growing – and so will you.
Our Total Rewards Package

Our Total Rewards package reflects the investments we make in our colleagues to help them and their families achieve their financial, physical, and mental well-being goals. Total Rewards at TD includes a base salary, variable compensation, and several other key plans such as health and well-being benefits, savings and retirement programs, paid time off, banking benefits and discounts, career development, and reward and recognition programs. Learn more
Additional Information:

We’re delighted that you’re considering building a career with TD. Through regular development conversations, training programs, and a competitive benefits plan, we’re committed to providing the support our colleagues need to thrive both at work and at home.
Please be advised that this job opportunity is subject to provincial regulation for employment purposes. It is imperative to acknowledge that each province or territory within the jurisdiction of Canada may have its own set of regulations, requirements.

Colleague Development

If you’re interested in a specific career path or are looking to build certain skills, we want to help you succeed. You’ll have regular career, development, and performance conversations with your manager, as well as access to an online learning platform and a variety of mentoring programs to help you unlock future opportunities. Whether you have a passion for helping customers and want to expand your experience, or you want to coach and inspire your colleagues, there are many different career paths within our organization at TD – and we’re committed to helping you identify opportunities that support your goals.

Training & Onboarding

We will provide training and onboarding sessions to ensure that you’ve got everything you need to succeed in your new role.
Interview Process

We’ll reach out to candidates of interest to schedule an interview. We do our best to communicate outcomes to all applicants by email or phone call.

Accommodation

Your accessibility is important to us. Please let us know if you’d like accommodations (including accessible meeting rooms, captioning for virtual interviews, etc.) to help us remove barriers so that you can participate throughout the interview process.


We look forward to hearing from you!
Language Requirement (Quebec only):
Sans Objet",Mid-level,"Python, Cloud, SQL, Tableau, Anti-money Laundering functions, Data engineering, Reporting, Business Intelligence, Forecasting, Linear regressions, Time-series forecasting, Test & control group setup, Hypothesis testing, Analytics, Problem-solving






"
Jr Data Scientist,NTT DATA,Toronto,$130K - $140K (Glassdoor Est.),"Make an impact with NTT DATA
Join a company that is pushing the boundaries of what is possible. We are renowned for our technical excellence and leading innovations, and for making a difference to our clients and society. Our workplace embraces diversity and inclusion – it’s a place where you can grow, belong and thrive.
Your day at NTT DATA
This role works under the guidance of more senior professional colleagues. The Intern / Apprentice assists with tasks relevant to the specific area or function. This position allows the incumbent the opportunity to develop capability in his/her area of study.
What you'll be doing
Key Responsibilities:
Gains knowledge and experience in area of specialization or function.
Acquires the relevant practical experience and knowledge of the service or solution offered by the specific area or function.
Remains current with the industry developments related to the relevant specific area or function
Provides general administrative to the specific area or function.
Coordinates meetings, minute taking, logistics, filing and record keeping.
Assists with the preparation and distribution of reports and review system data for accuracy.
Identifies errors or discrepancies they will investigate and correct or escalate them for resolution.
Provide support to clients in low complexity matters and maintain a log and/or list of all the queries.
Contributes to client engagement and the success of the team.
Accepts designated, business-focus projects to research, propose ideas and solutions.
Assists in preparing information and research materials.
creates and maintains PowerPoint presentations.
Knowledge, Skills and Attributes:
Attention to detail with good verbal and written communication skills.
Professional attitude and appearance and ability to prioritize tasks.
Ability to professionally handle complaints, problems and issues, escalate resolutions and corrective actions.
Ability to deliver a quality service through their support offering.
Passion for continuous improvement.
Self-motivated and a passion to learn.
Ability to work in a team-orientated, collaborative environment.
Good planning, organizing and time management skills.
Analytical mind with an inclination for identifying issues and/or defects.
Knowledge and interest in the specific area or function.
Knowledge of tools and methodologies associated with the specific area or function.
Ability to apply theoretical knowledge in a practical manner.
Academic Qualifications and Certifications:
.2nd year or above in computer engineering, computer science, mathematics, mechatronic engineering.
Required Experience:
Relevant working experience is desirable but not essential.
Some experience dealing with internal and external stakeholders.
Workplace type:
Hybrid Working
About NTT DATA
NTT DATA is a $30+ billion trusted global innovator of business and technology services. We serve 75% of the Fortune Global 100 and are committed to helping clients innovate, optimize and transform for long-term success. We invest over $3.6 billion each year in R&D to help organizations and society move confidently and sustainably into the digital future. As a Global Top Employer, we have diverse experts in more than 50 countries and a robust partner ecosystem of established and start-up companies. Our services include business and technology consulting, data and artificial intelligence, industry solutions, as well as the development, implementation and management of applications, infrastructure, and connectivity. We are also one of the leading providers of digital and AI infrastructure in the world. NTT DATA is part of NTT Group and headquartered in Tokyo.
Equal Opportunity Employer
NTT DATA is proud to be an Equal Opportunity Employer with a global culture that embraces diversity. We are committed to providing an environment free of unfair discrimination and harassment. We do not discriminate based on age, race, colour, gender, sexual orientation, religion, nationality, disability, pregnancy, marital status, veteran status, or any other protected category. Join our growing global team and accelerate your career with us. Apply today.",Junior,"Attention to detail with good verbal and written communication skills, Professional attitude and appearance and ability to prioritize tasks, Ability to professionally handle complaints, problems and issues, escalate resolutions and corrective actions, Ability to deliver a quality service through their support offering, Passion for continuous improvement, Self-motivated and a passion to learn, Ability to work in a team-orientated, collaborative environment, Good planning, organizing and time management skills, Analytical mind with an inclination for identifying issues and/or defects, Knowledge and interest in the specific area or function, Knowledge of tools and methodologies associated with the specific area or function, Ability to apply theoretical knowledge in a practical manner"
Growth Data Scientist,"LotusFlare, Inc.",Toronto,$100K - $130K (Glassdoor Est.),"LotusFlare is a provider of cloud-native SaaS products based in the heart of Silicon Valley. Founded by the team that helped Facebook reach over one billion users, LotusFlare was founded to make affordable mobile communications available to everyone on Earth.
Today, LotusFlare focuses on designing, building, and continuously evolving a digital commerce and monetization platform that delivers valuable outcomes for enterprises. Our platform, Digital Network Operator® (DNO™) Cloud, is licensed to telecommunications services providers and supports millions of customers globally.
LotusFlare has also designed and built the leading eSIM travel product - Nomad. Nomad provides global travelers with high-speed, affordable data connectivity in over 190 countries. Nomad is available as an iOS or Android app or via getnomad.app.
Summary:

As a Growth Data Scientist at LotusFlare, your work will directly affect products impacting millions of people. You will work on products throughout its whole life cycle and be responsible for advocating data-fueled products that help our customers to make data-driven decisions. You are a strategic thinker who can synthesize disparate information to understand the drivers of businesses and market dynamics, and structure corresponding vision and strategy to win the market. You are obsessed with data; you can easily translate complex data into accurate, timely, and actionable insights & decisions which deliver business impact.
Responsibilities:
Contribute to the strategy, vision, prioritization, and execution of data analytics products for LotusFlare’s web and mobile platforms
Work closely with data scientists and data engineers to analyze diverse sources of data to devise actionable insights
Define core metrics that measure the drivers of the business
Develop, execute, and test different growth experiments that have a significant impact on conversion across all funnels (acquisition, activation, retention, engagement, and monetization)
Analyze and monitor qualitative and quantitative data on the web and mobile app products to develop the most remarkable user experience
Present findings and prepare strategy recommendations to executive stakeholders
Partner with cross-functional teams including engineering, UX/UI, sales, marketing, and customer success to build growth strategies and manage complex, cross-functional projects
Requirements:
Undergraduate degree in Economics, Engineering, CS, Math, Statistics, Physics or similar quantitative field; advanced degrees a plus
Candidate must be able to effectively synthesize disparate quantitative and qualitative data sets to quickly make data-driven decisions
Excellent SQL and Python skills
Experience with Tableau, Quicksight, Data studio or other reporting and visualization tool
Strong communication skills, ability to smoothly lead external client presentation and communication
Fluent with data analysis, A/B Testing, and statistics
1 - 5 years of previous experience in product management, software development, growth product management, or analytics; exceptional new grads are welcome to apply as well
Obsessive around moving critical business metrics and products

About:
At LotusFlare, we attract and keep amazing people by offering two key things:
Purposeful Work: Every team member sees how their efforts make a tangible, positive difference for our customers and partners.
Growth Opportunities: We provide the chance to develop professionally while mastering cutting-edge practices in cloud-native enterprise software.
From the beginning, our mission has been to simplify technology to create better experiences for customers. Using an “experience down” approach, which prioritizes the customer's journey at every stage of development, our Digital Network Operator™ Cloud empowers communication service providers to achieve valuable business outcomes. DNO Cloud enables communication service providers to innovate freely, reduce operational costs, monetize network assets, engage customers on all digital channels, drive customer acquisition, and increase retention.
With headquarters in Santa Clara, California, and five major offices worldwide, LotusFlare serves Deutsche Telekom, T-Mobile, A1, Globe Telecom, Liberty Latin America, Singtel, and other leading enterprises around the world.
Website: www.lotusflare.com
LinkedIn: https://www.linkedin.com/company/lotusflare
Instagram: https://www.instagram.com/lifeatlotusflare/
Twitter: https://twitter.com/lotus_flare
InFWzrS40v",,
Data Scientist - Data Analytics and Infrastructure,Ample Insight Inc.,Toronto,$81K - $130K (Glassdoor Est.),"Company Description
You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a fast growing consulting firm based in Toronto with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.",,
Data Scientist (12 Month Term),Canadian Nuclear Laboratories (CNL),Chalk River,$85K - $125K (Glassdoor Est.),"Our Chalk River location is looking for a Data Scientist to support our Science and Technology Business Management Office. If you can see yourself in a role where you will provide AI/Machine learning expertise and data analytics support for research and development projects across multiple areas, such as nuclear safety and analysis, material research, nuclear forensics, and environmental monitoring, then apply today!

What will you be doing!

Contributing to the application and development of data analytics methods across diverse areas.
Specific examples include statistical/machine learning methods for anomaly detection in nuclear data, evaluation of nuclear safety margins and their uncertainties, and time-series forecasting.
Applying appropriate methodology when implementing studies, including processing data and performing statistical analysis, machine learning and/or computational modelling using software programs such as Python or R. Taking responsibility for the computational integrity and accuracy of the analysis.
In collaboration with domain experts, developing new methods and technologies as an outcome of the research performed. learning and applying new machine learning methods, and writing and modifying computer programs in software such as R, MATLAB, Python, RAVEN, Dakota, etc.
Interpreting and communicating results. Presenting on research will be delivered internally to CNL, at national and international venues/conferences, and to external customers. Work will be documented in internal CNL reports and published in peer reviewed journals.
Contributing to the planning and execution of specific research tasks.
Other duties as assigned by your manager.

What we are looking for:
Education
At minimum, a Bachelors (Honour) in Engineering or Science such as Machine Learning, Computer Science, or Applied Statistics from a university of recognized standing; or membership in an engineering or scientific professional organization authorized by statute to establish qualification for membership in that organization. A few years related engineering working experience.
Experience
Academic experience, such as thesis work, must be consistent with job requirements.
Relevant industry experience is an asset.
Experience with Unix.
Experience in using high-performance computing resources is preferred.
Knowledge, Skills & Abilities
Proficient in building machine learning models, e.g. for anomaly detection, image analysis, time-series trend analysis, etc.
Strong knowledge and proficiency in Python and associated packages for data processing, statistics and machine learning.
Statistical skills including multivariate analysis, regression analysis, hypothesis testing, sampling theory and practice.
Familiarity with another programming language, such as SQL, Python, or an object-oriented language, is preferred.
Familiarity with parallelization techniques in the code is preferred.
Security Clearance Eligibility Required
Reliability Status which has a minimum requirement of 3-5 years of verifiable history in Canada, Australia, New Zealand, the United States and/or the United Kingdom. CNL implements security screening in accordance with the Treasury Board of Canada Secretariat's ""Standard on Security Screening"" and the ""Policy on Government Security.""

Why CNL?
Does working with a team across Canada to advance nuclear science and technology for a clean and secure world speak to you? We're reinventing ourselves to be the pacesetters so we can lead the charge in solving the problems that matter, like building the next generation of clean nuclear and hydrogen energy solutions, developing new and better-targeted cancer treatments, and continuing to lead the world in environmental remediation.

We offer a complete total rewards package:
Paid time off (vacation, sick, floater & personal);
Benefits effective day one, that's right, no waiting period;
Tuition support.
and a pension!

Do Our Priorities Resonate with You?

Clean energy for today and tomorrow.
Restore and protect the Environment.
Contribute to the health of Canadians.

Location:
CNL works with employees across Canada to enable a remote workforce where possible. This role requires occasional work at CNL's Chalk River Laboratory site, permitting the employee to primarily work remotely, should they so desire. CNL employees who choose to work remotely the majority of the time are provided with the equipment required to be successful at their remote workplace (laptop, chair, monitor, etc.); however, they are not provided a dedicated onsite office. CNL's Chalk River laboratory is nestled in the Ottawa Valley and affords our employees an area that is environmentally pristine with extensive forests, hills and numerous small lakes, all of which support a variety of wildlife typical to the southern edge of the Canadian Shield. Many surrounding towns, such as Pembroke, Petawawa and Deep River, provide you with unparalleled outdoor adventures at your doorstep!

CNL is committed to providing an atmosphere free from barriers that promotes equity, diversity and inclusion in achieving our mission. CNL welcomes and celebrates employees, stakeholders and partners of all racial, cultural, and ethnic identities. Read here further on our DE&I Commitment.

CNL also supports a workplace environment and a corporate culture that is built on our Core Values: Respect, Teamwork, Accountability, Safety, Integrity and Excellence which encourage equitable employment practices and career prospects inclusive of accommodations for all employees.

CNL is committed to being an equal-opportunity employer. If you require accommodation measures during any phase of the hiring process, please indicate via our ATS when applying. All information received in relation to accommodation requests will be kept confidential.

The Chalk River Laboratories site is located on the unceded and unsurrendered territory of the Algonquin Anishinaabe people. As an organization, CNL recognizes and appreciates their historic connection to this place. CNL also recognizes the contributions that First Nations, Métis, Inuit and other Indigenous Peoples have made, both in shaping and strengthening this community in particular, and this province and country as a whole.

#LINKEDIN-REMOTE",Mid-level,"Machine Learning, e.g., anomaly detection, image analysis, time-series trend analysis, Python, data processing, statistics, machine learning, R, MATLAB, SQL, Object-oriented programming languages, preferred, Statistical analysis, multivariate analysis, regression analysis, hypothesis testing, sampling theory, Computational modeling, High-performance computing resources, Unix systems, RAVEN, Dakota"
data scientist,Arkfield Development Corp.,North York,$49.00 Per hour (Employer Est.),"Education: College/CEGEP
Experience: 1 year to less than 2 years
Tasks
Coordinate the development, installation, integration and operation of computer-based systems
Design methods of collecting and processing data to answer specific research questions
Research data collection and administration policy
Develop and implement data administration policy, standards and models
Research and document data requirements, data collection and administration policy, and data access rules
Develop policies and procedures for network access and usage and for the backup and recovery of data
Work conditions and physical capabilities
Fast-paced environment
Work under pressure
Tight deadlines
Attention to detail
Personal suitability
Accurate
Organized
Work Term: Permanent
Work Language: English
Hours: 35 hours per week",,
Senior Data Scientist - Digital Solutions Company,Groom & Associes,Toronto,$81K - $130K (Glassdoor Est.),"Senior Data Scientist – Solutions Company

At this company, we are dedicated to delivering cutting-edge digital solutions across various industries, including maritime, manufacturing, and transportation. By working closely with our customers, we develop tailored AI-driven solutions that enhance operational efficiency, quality, and safety. Our commitment to digital transformation empowers businesses to seize new opportunities and optimize their operations.


The team leading and backing this company, are former members of one of the largest private AI Labs in Europe. Recently their North American branch was acquired by a big name. Some of their most talented members have embarked on a new journey with this company. The great thing is that there is already have a roster of exciting projects and interesting clients based on the work done with the previous company.

We are seeking a talented AI Scientist to join our team of experts and lead the development of innovative AI models and algorithms. In this role, you will have the opportunity to design, implement, and optimize AI solutions that address complex business challenges and drive strategic value. You will collaborate closely with data engineers, software developers, and business stakeholders to ensure the successful deployment of AI technologies.


Title: Senior Data Scientist

Location: Fully remote

Type of position: Full time, permanent

Salary: Open to discuss + benefits + 4 weeks’ vacation + 5% RRSP
Start date: start of 2025

Responsibilities:

Conduct research and develop advanced AI models and algorithms to solve real-world problems.
Collaborate with data engineers to ensure high-quality data preparation and pipeline integration for AI solutions.
Prototype and evaluate machine learning models and stay updated with the latest AI research and trends.
Work directly with business stakeholders to understand requirements and translate them into AI-driven solutions.
Communicate findings effectively to both technical and non-technical audiences through reports and presentations.
Document and maintain AI methodologies and frameworks for reproducibility and scalability.

Minimum Qualifications:

Master’s degree in Computer Science, AI, Machine Learning, or a related technical field.
Strong foundation in machine learning, artificial intelligence, and data science concepts.
Proficiency in programming languages commonly used in AI development (e.g., Python).
Experience with machine learning frameworks and libraries (e.g., TensorFlow, PyTorch, Scikit-learn).
Proven track record of solving complex problems using AI techniques.

Preferred Qualifications:

Ph.D. in a relevant field.
Experience with cloud-based AI platforms and services (e.g., AWS SageMaker, Google AI Platform).
Experience with ML, NLP and computer vision techniques in R&D and production settings.
Publication record in reputed AI conferences or journals.
Excellent communication and collaboration skills.

Logistics:

Role is fully remote.
Must be available for meetings in US West time zone.",Senior,"Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, Artificial Intelligence, Natural Language Processing, NLP, Computer Vision, AWS SageMaker, Google AI Platform"
Staff Data Scientist,ISG Search Inc,Toronto,$93K - $144K (Glassdoor Est.),"Staff Data Scientist

Must Have:

7+ years of experience with general purpose programming languages e.g., Python, C/C++, Java
7+ years of hands-on experience in machine learning and deep learning
Nice to Have:

Exposure to machine learning platforms such as TensorFlow, TensorFlow Extended, PyTorch
Good to have experience building and deploying machine learning models on the Cloud (Google Cloud, Azure, AWS)
Good to have experience with production architecture of machine learning systems
Our client is…

A global full-service digital consultancy firm. Their global team is dedicated to delivering seamlessly integrated strategies, immersive user experiences, cross-platform development, deployment, training, and ongoing support. They have a results-focused approach which allows them to understand the client needs, shape digital strategies, and forge a path to deliver business success.
Responsibilities:

Collaborate with the Engineering and Product teams to build machine learning models into the products and offerings of [24]7.ai, primarily in the space of ad optimization and personalization
Lead a small team of data scientists. Be responsible for implementing the machine learning models, testing them, refining them, and taking them to production for our ad optimization and personalization product/offering.
Collaborate with other teams in the Data Science Group to review and refine your work to ensure the highest quality
Collaborate with the product owners and the data science leadership to chart the AI vision for ad optimization and personalization.",,
"Sr. Data Scientist, Fraud Analytics",TransUnion,Burlington,$84K - $92K (Glassdoor Est.),"TransUnion's Job Applicant Privacy Notice
What We'll Bring:
At TransUnion, we are dedicated to finding ways information can be used to help people make better and smarter decisions. As a trusted provider of global information solutions, our mission is to help people around the world access the opportunities that lead to a higher quality of life, by helping organizations optimize their risk-based decisions and enabling consumers to understand and manage their personal information. Because when people have access to more complete and multidimensional information, they can make more informed decisions and achieve great things.


Every day TransUnion offers our employees the tools and resources they need to find ways information can be used. Whether it is helping businesses better manage risk, providing better insights so a consumer can qualify for their first mortgage or working with law enforcement to make neighborhoods safer, we are improving the quality of life for individuals, families, communities and local economies around the world.
What You'll Bring:
The duties and responsibilities described above are the essential functions of the job. The qualifications below are representative of the knowledge, skills, and/or abilities required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
2+ years’ experience working with R/Python or similar analytical tools
Familiar with various statistical, econometric, and quantitative analysis techniques and their applicability to business problems
Advanced knowledge of SQL, Hive, Scala, Spark etc.
Experience in developing statistical Fraud models - Research, develop, test, and document methodologies/models, procedures and related processes.
Model implementation and ongoing validation - Liaise with other stakeholders to facilitate model approval and implementation; participate in formulating implementation requirements, and conducting pre-implementation testing and continuing support
Quick thinker, unconventional problem-solving capabilities
Excellent communication skills (oral & written) with ability to communicate complex concepts and solutions successfully to all levels of management and technical expertise.
Must have proven ability to interact and mediate with all levels of organization, from most junior to most senior, from all aspects of business including technical and operational.
Proven ability to mediate through complex business issues from multiple points of view and levels of organization – while achieving desired outcome
Track record of independent self-motivated results. Must also be able to work effectively under minimum supervision.
Willingness and ability consistently assert point of view in a non-confrontational manner.
Capable of translating market/economics trends into tangible product concepts/ideas or solutions
In-depth understanding of Fraud industry and relevant experience is a must
Well-rounded experience consulting or supporting intangible solutions
Bachelor’s degree in Statistics or other related field such as mathematics, business, finance, economics, or equivalent, Master’s Degree a plus
Impact You'll Make:
The individual in this position will proactively work in designing fraud solutions with a focus on building and supporting state of the art models, their implementation, ongoing validations and client support. In this role, the person will work directly with Fraud Analytics SME and help drive Fraud analytics revenue and sales. In addition, this individual will be expected to work effectively across virtual teams, liaise with others in order to facilitate the development and execution of complex projects and initiatives.
The right candidate will have the ability to work independently with minimal supervision, along with ability to work and deliver quality output within tight timelines. Responsible for providing technical support, in addition to essential services to internal and external customers. Finds value-add opportunities for clients to help maintain and nurture strong revenue base, mutually satisfying business relationships. Some of the key duties in this role are :
Manages Fraud and Analytics work stream along with Fraud analytics SME, by providing value add through technical skills and consulting.
Supports Fraud analytics and sales colleagues in supporting validations and other analyses to drive client adoption of TU Fraud solutions and data
Support wider Solutions team as analytics SME in Fraud product development
When necessary, will engage with other business units and functional areas to support new product initiatives and development efforts specific to Fraud – some of the functional areas may include legal, compliance, finance and IT.
Work with Fraud SMEs and IT to determine analytical requirements; and support integrating Fraud solution and processes into current/new IT systems from Analytics perspective
Creates and/or follows detailed project plans to ensure projects are completed on time and within budget.
Collaborates with various teams to assist common customers. Effectively presents project results in client/user language.
Understands industry trends and the business at the level needed to proactively identify areas of business opportunities and analytical needs of customers.
Assures compliance of regulatory and privacy issues during implementation of modeling and analysis projects.
Makes formal presentations at meetings, conventions, and other speaking engagements in a particular area of business or statistical expertise.
Good with Model documentation and version control
Performs other related duties as assigned.
This is a hybrid position and involves regular performance of job responsibilities virtually as well as in-person at an assigned TU office location for a minimum of two days a week.
Accommodation is available, including for applicants with disabilities, in accordance with applicable laws.
TransUnion's Internal Job Title:
Sr Analyst, Data Science and Analytics",,
Growth Data Scientist,Lotus Flare,Toronto,$100K - $130K (Glassdoor Est.),"LotusFlare is a provider of cloud-native SaaS products based in the heart of Silicon Valley. Founded by the team that helped Facebook reach over one billion users, LotusFlare was founded to make affordable mobile communications available to everyone on Earth.

Today, LotusFlare focuses on designing, building, and continuously evolving a digital commerce and monetization platform that delivers valuable outcomes for enterprises. Our platform, Digital Network Operator® (DNO™) Cloud, is licensed to telecommunications services providers and supports millions of customers globally.

LotusFlare has also designed and built the leading eSIM travel product - Nomad. Nomad provides global travelers with high-speed, affordable data connectivity in over 190 countries. Nomad is available as an iOS or Android app or via getnomad.app.

Summary:
As a Growth Data Scientist at LotusFlare, your work will directly affect products impacting millions of people. You will work on products throughout its whole life cycle and be responsible for advocating data-fueled products that help our customers to make data-driven decisions. You are a strategic thinker who can synthesize disparate information to understand the drivers of businesses and market dynamics, and structure corresponding vision and strategy to win the market. You are obsessed with data; you can easily translate complex data into accurate, timely, and actionable insights & decisions which deliver business impact.

Responsibilities:
Contribute to the strategy, vision, prioritization, and execution of data analytics products for LotusFlare's web and mobile platforms
Work closely with data scientists and data engineers to analyze diverse sources of data to devise actionable insights
Define core metrics that measure the drivers of the business
Develop, execute, and test different growth experiments that have a significant impact on conversion across all funnels (acquisition, activation, retention, engagement, and monetization)
Analyze and monitor qualitative and quantitative data on the web and mobile app products to develop the most remarkable user experience
Present findings and prepare strategy recommendations to executive stakeholders
Partner with cross-functional teams including engineering, UX/UI, sales, marketing, and customer success to build growth strategies and manage complex, cross-functional projects

Requirements:
Undergraduate degree in Economics, Engineering, CS, Math, Statistics, Physics or similar quantitative field; advanced degrees a plus
Candidate must be able to effectively synthesize disparate quantitative and qualitative data sets to quickly make data-driven decisions
Excellent SQL and Python skills
Experience with Tableau, Quicksight, Data studio or other reporting and visualization tool
Strong communication skills, ability to smoothly lead external client presentation and communication
Fluent with data analysis, A/B Testing, and statistics
1 - 5 years of previous experience in product management, software development, growth product management, or analytics; exceptional new grads are welcome to apply as well
Obsessive around moving critical business metrics and products

About:
At LotusFlare, we attract and keep amazing people by offering two key things:
Purposeful Work: Every team member sees how their efforts make a tangible, positive difference for our customers and partners.
Growth Opportunities: We provide the chance to develop professionally while mastering cutting-edge practices in cloud-native enterprise software.

From the beginning, our mission has been to simplify technology to create better experiences for customers. Using an ""experience down"" approach, which prioritizes the customer's journey at every stage of development, our Digital Network Operator™ Cloud empowers communication service providers to achieve valuable business outcomes. DNO Cloud enables communication service providers to innovate freely, reduce operational costs, monetize network assets, engage customers on all digital channels, drive customer acquisition, and increase retention.

With headquarters in Santa Clara, California, and five major offices worldwide, LotusFlare serves Deutsche Telekom, T-Mobile, A1, Globe Telecom, Liberty Latin America, Singtel, and other leading enterprises around the world.

Website: www.lotusflare.com
LinkedIn: https://www.linkedin.com/company/lotusflare
Instagram: https://www.instagram.com/lifeatlotusflare/
Twitter: https://twitter.com/lotus_flare",,
